OD,oLon,oLat,dLon,dLat,busDis,busTime,busWalkTime,busWalkDis,busWaitTime,busBoardTime,busBoardDis,busTransNum,taxiCost,busCost,driveTime,driveDis
1001401488099960-1001401514099966,113.94865920016564,22.533862145734602,113.98007297165466,22.54122402585111,3671.0,2606.0,736.0,1720.0,1.0,1869.0,4356.0,0,14.0104,2.0,1083,5661
1001401488099960-3003401540100008,113.94865920016564,22.533862145734602,114.01180485562051,22.590327545018788,11584.0,4735.0,1292.0,3016.0,0.0,3443.0,14059.0,0,33.0016,2.5,2006,13998
1001401486099960-1001401434099996,113.9462314708742,22.533816054785625,113.88219987131626,22.57319720607697,9944.0,3321.0,606.0,1416.0,0.0,2715.0,9824.0,0,29.0656,2.5,2116,10094
1001401486099960-15015401536099952,113.9462314708742,22.533816054785625,114.01544785059866,22.53398724923857,6468.0,1833.0,981.0,2292.0,1.0,851.0,6990.0,0,20.7232,3.0,1204,7685
1001401486099960-1001401500099960,113.9462314708742,22.533816054785625,113.96322570837157,22.534137924210444,1617.0,1742.0,357.0,836.0,1.0,1384.0,2335.0,0,10.0,2.0,718,3294
1001401486099960-7007401520099992,113.9462314708742,22.533816054785625,113.99028849285894,22.57413150292688,8175.0,5756.0,2214.0,5168.0,0.0,3542.0,9755.0,1,24.82,4.5,2223,9257
1001401488099960-1001401440100010,113.94865920016564,22.533862145734602,113.889129962213,22.589124453815216,11127.0,5363.0,598.0,1398.0,1.0,4764.0,13920.0,0,31.9048,2.5,1761,12858
1001401488099960-1001401476100096,113.94865920016564,22.533862145734602,113.93068967308253,22.68694001861608,17131.0,6284.0,1200.0,2800.0,0.0,5084.0,20622.0,0,46.3144,3.0,2660,25497
1001401486099960-3003401552100044,113.9462314708742,22.533816054785625,114.02550470664828,22.63119572066961,17218.0,4799.0,493.0,1152.0,0.0,4306.0,19354.0,0,46.5232,2.5,2715,17973
1001401488099960-1001401456099958,113.94865920016564,22.533862145734602,113.90986651428145,22.530865112751265,3919.0,1979.0,1564.0,3650.0,0.0,415.0,3044.0,0,14.6056,2.0,1251,5832
1001401488099960-3003401392100052,113.94865920016564,22.533862145734602,113.83094899468996,22.636490501918225,21332.0,5249.0,436.0,1018.0,0.0,4813.0,20150.0,0,56.3968,2.5,3062,21783
1001401488099960-1001401460099992,113.94865920016564,22.533862145734602,113.91386841224579,22.569296717699018,6819.0,4689.0,851.0,1988.0,1.0,3837.0,9761.0,0,21.5656,2.5,2164,7463
1001401488099960-15015401456100048,113.94865920016564,22.533862145734602,113.91592607499642,22.640404731773128,13806.0,7710.0,3874.0,9040.0,0.0,3836.0,14313.0,0,38.3344,3.0,3957,17762
1001401488099960-1001401570099954,113.94865920016564,22.533862145734602,114.04834540512769,22.52895396604193,9786.0,2902.0,652.0,1524.0,1.0,2249.0,12464.0,0,28.6864,2.5,1154,12965
1001401486099960-1001401484099966,113.9462314708742,22.533816054785625,113.94365469626273,22.54053572099181,920.0,1757.0,575.0,1344.0,1.0,1181.0,856.0,0,10.0,2.0,776,1443
1001401488099960-15015401464100088,113.94865920016564,22.533862145734602,113.92463830207592,22.685695332860192,17569.0,6217.0,843.0,1968.0,0.0,5374.0,20757.0,0,47.36559999999999,2.0,2389,24551
1001401488099960-15015401520099952,113.94865920016564,22.533862145734602,113.99602497210938,22.53362555649705,4439.0,2583.0,620.0,1448.0,0.0,1963.0,5460.0,0,15.8536,2.5,1159,6598
1001401486099960-3003401476099948,113.9462314708742,22.533816054785625,113.93558060780785,22.52120430189941,2265.0,2079.0,407.0,952.0,1.0,1671.0,3654.0,0,10.636,2.0,983,3959
1001401486099960-3003401588100044,113.9462314708742,22.533816054785625,114.06923869815728,22.632001512637643,21376.0,5898.0,865.0,2022.0,1.0,5032.0,20917.0,1,56.5024,6.0,3321,23462
3003401486099950-1001401646099994,113.94766851071554,22.52369034958485,114.13967819512665,22.575734081646857,23149.0,4132.0,1097.0,2564.0,2.0,3033.0,23490.0,3,60.7576,6.0,3635,24604
