OD,oLon,oLat,dLon,dLat,busDis,busTime,busWalkTime,busWalkDis,busWaitTime,busBoardTime,busBoardDis,busTransNum,taxiCost,busCost,driveTime,driveDis
1001401488099960-3003401576100020,113.94865920016564,22.533862145734602,114.05523730515785,22.60466856755935,17081.0,5337.0,968.0,2262.0,1.0,4368.0,21789.0,0,46.1944,3.0,2804,19456
1001401488099960-3003401462099958,113.94865920016564,22.533862145734602,113.91833805287285,22.532155759344416,2998.0,2807.0,370.0,864.0,0.0,2437.0,6467.0,0,12.3952,2.0,1046,5786
1001401486099960-1001401456099954,113.9462314708742,22.533816054785625,113.90996693805886,22.52635472245889,4133.0,2683.0,1086.0,2536.0,0.0,1597.0,3736.0,0,15.1192,2.5,1092,5593
1001401488099960-1001401462099966,113.94865920016564,22.533862145734602,113.91694886481079,22.540025738100127,3578.0,2430.0,790.0,1846.0,1.0,1639.0,3550.0,0,13.7872,2.5,891,5193
1001401488099960-3003401498099982,113.94865920016564,22.533862145734602,113.96144351367164,22.56005092147699,3834.0,3187.0,1385.0,3234.0,1.0,1801.0,3864.0,0,14.4016,1.0,1082,6458
1001401486099960-1001401490100002,113.9462314708742,22.533816054785625,113.95004485786508,22.581268938770545,5145.0,2559.0,283.0,662.0,0.0,2276.0,6786.0,0,17.548,2.0,1250,7178
1001401488099960-1001401538099964,113.94865920016564,22.533862145734602,114.0092572339788,22.53951334813896,6218.0,4071.0,974.0,2274.0,0.0,3097.0,12976.0,0,20.1232,2.0,1321,7720
1001401488099960-1001401502100006,113.94865920016564,22.533862145734602,113.96451744607587,22.5860557303106,6746.0,3216.0,166.0,388.0,0.0,3050.0,10890.0,0,21.3904,2.5,1262,7896
1001401488099960-3003401398100046,113.94865920016564,22.533862145734602,113.83839171961495,22.62986946561644,19969.0,5294.0,568.0,1328.0,1.0,4725.0,19129.0,0,53.1256,2.5,2221,20381
1001401488099960-3003401490099970,113.94865920016564,22.533862145734602,113.95202822858765,22.546335244205434,1573.0,1767.0,675.0,1576.0,0.0,1092.0,825.0,0,10.0,2.0,564,2014
1001401488099960-1001401502099962,113.94865920016564,22.533862145734602,113.96560415804184,22.53643907057972,1839.0,2156.0,605.0,1414.0,1.0,1550.0,2335.0,0,10.0,2.0,497,2431
1001401486099960-3003401658100026,113.9462314708742,22.533816054785625,114.15470074409487,22.613233234329357,27447.0,7371.0,1032.0,2410.0,0.0,6339.0,28809.0,1,72.83463999999998,3.5,3826,29303
1001401488099960-1001401480099974,113.94865920016564,22.533862145734602,113.93859989462776,22.549464332716287,2512.0,2043.0,554.0,1294.0,0.0,1489.0,2663.0,0,11.2288,1.0,687,2865
1001401488099960-7007401408100000,113.94865920016564,22.533862145734602,113.85409573551105,22.58054515451792,13526.0,4647.0,862.0,2012.0,0.0,3785.0,14792.0,0,37.6624,2.5,2155,13502
1001401486099960-3003401416099996,113.9462314708742,22.533816054785625,113.86153424050664,22.57392260621589,11943.0,2458.0,1188.0,2774.0,0.0,1270.0,11389.0,0,33.8632,4.0,2092,12467
1001401488099960-7007401512099968,113.94865920016564,22.533862145734602,113.98116406195395,22.54688509218216,4343.0,2877.0,930.0,2172.0,0.0,1947.0,6180.0,0,15.6232,2.5,1032,6043
1001401486099960-3003401544099976,113.9462314708742,22.533816054785625,114.01743982861521,22.554331402390442,8708.0,3333.0,610.0,1426.0,1.0,2722.0,10357.0,0,26.0992,2.5,1590,11210
1001401488099960-1001401594099960,113.94865920016564,22.533862145734602,114.07733776653723,22.53625267698168,12235.0,4006.0,314.0,734.0,0.0,3692.0,17518.0,0,34.56399999999999,4.0,1471,16366
1001401488099960-15015401576099976,113.94865920016564,22.533862145734602,114.0634336327047,22.561947366768976,13533.0,3500.0,322.0,752.0,0.0,3178.0,14544.0,0,37.6792,2.5,1438,14300
1001401488099960-3003401566100014,113.94865920016564,22.533862145734602,114.04323599011565,22.597678764989947,15256.0,5156.0,976.0,2278.0,0.0,4180.0,21466.0,0,41.8144,2.5,2656,17481
1001401488099960-3003401490099998,113.94865920016564,22.533862145734602,113.9513336087596,22.57790908505709,4695.0,2542.0,807.0,1884.0,0.0,1735.0,5883.0,0,16.468,2.0,1361,7095
1001401488099960-3003401438099990,113.94865920016564,22.533862145734602,113.88839719925444,22.567677112976927,9029.0,2924.0,340.0,796.0,1.0,2583.0,9074.0,0,26.8696,2.5,1618,9771
1001401488099960-3003401620100036,113.94865920016564,22.533862145734602,114.10830390575431,22.623685474698767,23947.0,4756.0,1313.0,3064.0,0.0,3443.0,22855.0,1,62.6728,7.0,3084,24996
1001401488099960-1001401560100032,113.94865920016564,22.533862145734602,114.03432315186508,22.61669306739059,16345.0,4527.0,814.0,1900.0,0.0,3713.0,16905.0,0,44.428000000000004,3.0,2474,17212
1001401488099960-15015401568099984,113.94865920016564,22.533862145734602,114.05352789248586,22.570791437240487,13501.0,4296.0,968.0,2260.0,0.0,3328.0,14813.0,0,37.6024,3.0,1781,15448
1001401486099960-1001401488099976,113.9462314708742,22.533816054785625,113.94826223185323,22.551904329293986,2015.0,1189.0,206.0,482.0,0.0,983.0,1791.0,0,10.036,2.0,539,2401
1001401486099960-1001401394100140,113.9462314708742,22.533816054785625,113.82990639261372,22.734606197196683,31120.0,4411.0,1817.0,4243.0,1.0,2593.0,33001.0,1,84.2944,8.0,3138,32669
1001401486099960-1001401514099984,113.9462314708742,22.533816054785625,113.97963078732802,22.56152205366385,5909.0,2526.0,419.0,980.0,1.0,2106.0,6085.0,0,19.3816,2.5,1261,7027
1001401488099960-1001401488100002,113.94865920016564,22.533862145734602,113.94761629563057,22.58122277713346,4877.0,2937.0,523.0,1222.0,0.0,2414.0,7161.0,0,16.904799999999998,2.0,1157,7239
1001401488099960-1001401492099998,113.94865920016564,22.533862145734602,113.95257271313444,22.576804521029572,4699.0,2397.0,662.0,1546.0,0.0,1735.0,5883.0,0,16.4776,2.0,1126,6147
1001401488099960-1001401466099972,113.94865920016564,22.533862145734602,113.92165424278991,22.546884439614434,3831.0,2671.0,1032.0,2410.0,0.0,1639.0,3550.0,0,14.3944,2.5,1036,6283
1001401488099960-7007401472099944,113.94865920016564,22.533862145734602,113.93320282483627,22.51890271995359,2950.0,2149.0,548.0,1280.0,0.0,1601.0,3710.0,0,12.28,2.5,755,3727
1001401488099960-7007401496100000,113.94865920016564,22.533862145734602,113.96094856159328,22.58260376799291,6064.0,3165.0,820.0,1914.0,0.0,2345.0,7268.0,0,19.7536,3.0,1104,6902
1001401488099960-7007401440099968,113.94865920016564,22.533862145734602,113.89375894273168,22.545219542850784,6263.0,2010.0,1261.0,2944.0,0.0,749.0,6199.0,0,20.2312,3.0,1228,8625
1001401488099960-3003401536099972,113.94865920016564,22.533862145734602,114.00782425667562,22.549640026195608,7106.0,4761.0,610.0,1424.0,0.0,4151.0,14534.0,0,22.2544,2.0,1560,9260
1001401488099960-1001401472099958,113.94865920016564,22.533862145734602,113.929287450159,22.53123715995992,2071.0,2979.0,443.0,1036.0,1.0,2535.0,4288.0,0,10.1704,2.5,949,4006
1001401488099960-1001401572099970,113.94865920016564,22.533862145734602,114.05038967390196,22.54704239580741,10812.0,2945.0,358.0,838.0,1.0,2586.0,15059.0,0,31.1488,2.5,1424,14811
1001401488099960-1001401416100004,113.94865920016564,22.533862145734602,113.86014115642756,22.581791646805147,13088.0,4242.0,592.0,1384.0,1.0,3649.0,12941.0,0,36.6112,2.5,2754,12741
1001401486099960-15015401528100056,113.9462314708742,22.533816054785625,114.0031971922522,22.65108624965714,17148.0,6880.0,232.0,545.0,2.0,6646.0,23715.0,1,46.3552,5.0,2781,19898
1001401488099960-7007401460099972,113.94865920016564,22.533862145734602,113.91793705926595,22.55019736121581,4512.0,3400.0,1103.0,2574.0,0.0,2297.0,3841.0,0,16.028799999999997,2.5,1239,6169
1001401488099960-1001401420099998,113.94865920016564,22.533862145734602,113.86515109980786,22.575121325793106,11948.0,4140.0,674.0,1574.0,0.0,3466.0,12218.0,0,33.8752,2.5,2458,11987
1001401488099960-15015401424099952,113.94865920016564,22.533862145734602,113.87949614789812,22.531406298501352,6695.0,5805.0,1739.0,4060.0,1.0,4065.0,9080.0,0,21.268,2.5,2789,17696
1001401488099960-1001401416099994,113.94865920016564,22.533862145734602,113.86039684344942,22.570516271900463,11926.0,4800.0,466.0,1088.0,0.0,4334.0,13238.0,0,33.8224,2.5,2688,12734
1001401488099960-1001401552099954,113.94865920016564,22.533862145734602,114.02649483007968,22.52855144936305,7791.0,2383.0,316.0,738.0,0.0,2067.0,10300.0,0,23.8984,2.5,1134,9839
1001401488099960-3003401496099968,113.94865920016564,22.533862145734602,113.95936158192379,22.544217922363515,2042.0,2378.0,415.0,970.0,0.0,1963.0,3046.0,0,10.1008,2.0,898,2354
1001401488099960-3003401484100008,113.94865920016564,22.533862145734602,113.94379913907892,22.58904682832684,6023.0,3948.0,1144.0,2670.0,0.0,2804.0,7886.0,0,19.6552,2.0,1963,8892
1001401488099960-1001401578099950,113.94865920016564,22.533862145734602,114.05815253484279,22.524620903440727,11137.0,3325.0,598.0,1398.0,1.0,2726.0,13783.0,1,31.9288,5.0,1259,13516
1001401486099960-1001401532100066,113.9462314708742,22.533816054785625,113.99947937231892,22.654401397476505,17137.0,7150.0,456.0,1067.0,1.0,6693.0,24304.0,1,46.3288,5.0,2886,20516
1001401488099960-15015401416099992,113.94865920016564,22.533862145734602,113.86876738120549,22.57631957616477,11732.0,3721.0,462.0,1080.0,0.0,3259.0,11648.0,0,33.35679999999999,2.5,2668,12709
1001401488099960-1001401596099958,113.94865920016564,22.533862145734602,114.07981329905226,22.53404124848945,12242.0,4463.0,827.0,1932.0,1.0,3635.0,17518.0,0,34.5808,4.0,1657,16711
1001401486099960-1001401550100054,113.9462314708742,22.533816054785625,114.0216413880417,22.641277349781102,17876.0,5721.0,754.0,1760.0,0.0,4967.0,21106.0,0,48.1024,3.0,3195,19420
1001401488099960-3003401478099966,113.94865920016564,22.533862145734602,113.93756019552202,22.5415478114735,1811.0,2470.0,659.0,1540.0,1.0,1810.0,3030.0,0,10.0,2.0,1052,3424
1001401486099960-3003401568099956,113.9462314708742,22.533816054785625,114.04705945742712,22.53231488546865,9548.0,3376.0,1050.0,2454.0,1.0,2325.0,12464.0,0,28.1152,2.5,1367,13391
1001401488099960-7007401552099952,113.94865920016564,22.533862145734602,114.0301122797883,22.52974637581289,8008.0,2674.0,597.0,1394.0,0.0,2077.0,9763.0,0,24.4192,3.0,1283,10909
1001401488099960-3003401432100016,113.94865920016564,22.533862145734602,113.8804520269958,22.596852332732297,12716.0,4762.0,800.0,1868.0,0.0,3962.0,13516.0,0,35.7184,2.5,2940,13604
1001401488099960-1001401416099992,113.94865920016564,22.533862145734602,113.8604479613407,22.568261194692674,11694.0,4928.0,594.0,1388.0,0.0,4334.0,13238.0,0,33.265600000000006,2.5,2593,13143
1001401488099960-15015401440100112,113.94865920016564,22.533862145734602,113.8948641499542,22.712193306092118,23021.0,8229.0,882.0,2059.0,0.0,7347.0,29258.0,1,60.4504,4.5,2825,26599
1001401488099960-3003401418099998,113.94865920016564,22.533862145734602,113.86391140156759,22.57622513767361,12175.0,4259.0,800.0,1868.0,0.0,3459.0,12218.0,0,34.42,2.5,2552,12124
1001401486099960-1001401586100044,113.9462314708742,22.533816054785625,114.06561811580505,22.63080709026176,20918.0,5555.0,1056.0,2468.0,1.0,4498.0,20917.0,1,55.4032,6.0,3367,22732
1001401486099960-1001401502099962,113.9462314708742,22.533816054785625,113.96560415804184,22.53643907057972,2070.0,1731.0,393.0,920.0,1.0,1337.0,2335.0,0,10.168,2.0,592,2678
1001401488099960-7007401492100004,113.94865920016564,22.533862145734602,113.9559921471496,22.587022286910983,6049.0,3244.0,614.0,1434.0,0.0,2630.0,6717.0,0,19.7176,2.0,1582,7529
1001401488099960-1001401418100002,113.94865920016564,22.533862145734602,113.86262063820664,22.5795840529652,12635.0,4203.0,561.0,1310.0,0.0,3642.0,12941.0,0,35.524,2.5,2547,12255
1001401488099960-1001401504099968,113.94865920016564,22.533862145734602,113.967884086145,22.54325081863836,2739.0,2062.0,600.0,1402.0,0.0,1462.0,2853.0,0,11.7736,2.5,1239,3303
1001401486099960-7007401492099956,113.9462314708742,22.533816054785625,113.95718088328256,22.532895440422173,1113.0,1723.0,756.0,1766.0,0.0,967.0,727.0,0,10.0,2.0,466,2656
1001401488099960-15015401520099968,113.94865920016564,22.533862145734602,113.99563416429231,22.55166853320867,6175.0,2892.0,682.0,1594.0,1.0,2209.0,7545.0,0,20.02,2.5,1422,8105
1001401488099960-1001401546099978,113.94865920016564,22.533862145734602,114.01862972654258,22.555481660360712,8703.0,3343.0,826.0,1928.0,0.0,2517.0,9702.0,0,26.0872,2.5,1530,9856
1001401488099960-3003401448100000,113.94865920016564,22.533862145734602,113.90028582068408,22.579187708561005,9083.0,3948.0,886.0,2068.0,0.0,3062.0,9529.0,0,26.9992,2.0,2103,10433
1001401488099960-15015401496099960,113.94865920016564,22.533862145734602,113.96669415964216,22.5420998844917,2512.0,2092.0,629.0,1470.0,1.0,1462.0,2853.0,0,11.2288,2.5,1157,3096
1001401488099960-3003401624099976,113.94865920016564,22.533862145734602,114.11457451093064,22.55610508523472,17708.0,4912.0,936.0,2186.0,0.0,3976.0,17306.0,0,47.6992,2.5,2480,22029
3003401486099950-15015401496099944,113.94766851071554,22.52369034958485,113.96708854260551,22.52405736928614,1848.0,1182.0,748.0,1748.0,1.0,433.0,2162.0,0,10.0,2.0,724,3791
1001401488099960-3003401464099996,113.94865920016564,22.533862145734602,113.91981369072256,22.575051262757373,6846.0,4707.0,973.0,2272.0,0.0,3734.0,8485.0,0,21.6304,2.5,2421,8453
1001401488099960-1001401502099966,113.94865920016564,22.533862145734602,113.9655054917436,22.54094969070365,2285.0,1923.0,464.0,1084.0,0.0,1459.0,2167.0,0,10.684,2.0,975,2393
1001401488099960-1001401396100024,113.94865920016564,22.533862145734602,113.83534200273272,22.60386495078616,17627.0,5665.0,1265.0,2954.0,1.0,4399.0,16973.0,0,47.5048,2.5,3169,16663
1001401488099960-3003401556099968,113.94865920016564,22.533862145734602,114.03220252566092,22.54557940688245,8970.0,4310.0,2084.0,4866.0,1.0,2225.0,9250.0,0,26.728,2.0,1859,11679
1001401488099960-15015401448099960,113.94865920016564,22.533862145734602,113.90842596457512,22.54098976286018,4469.0,2811.0,2396.0,5592.0,0.0,415.0,3044.0,0,15.9256,2.0,1230,6325
3003401486099950-3003401584099956,113.94766851071554,22.52369034958485,114.06648305382635,22.532670398844616,11981.0,2675.0,957.0,2237.0,2.0,1716.0,13281.0,1,33.9544,5.0,1369,14333
1001401488099960-1001401504099964,113.94865920016564,22.533862145734602,113.96798268634936,22.538740189830452,2293.0,1765.0,306.0,716.0,0.0,1459.0,2167.0,0,10.7032,2.0,950,2660
1001401488099960-3003401564099964,113.94865920016564,22.533862145734602,114.04201127916298,22.5412475181172,9447.0,3134.0,609.0,1424.0,1.0,2524.0,10661.0,0,27.8728,3.0,1739,10782
1001401488099960-7007401612100004,113.94865920016564,22.533862145734602,114.10172410746672,22.58972021101038,19905.0,6208.0,1328.0,3100.0,0.0,4880.0,21091.0,0,52.972,2.5,2673,21903
1001401488099960-15015401544099960,113.94865920016564,22.533862145734602,114.02496597194609,22.543188952978767,8053.0,4146.0,1586.0,3704.0,1.0,2559.0,7707.0,0,24.5272,2.0,2058,9588
1001401488099960-1001401564099978,113.94865920016564,22.533862145734602,114.04048438461152,22.55588570035239,10782.0,4028.0,1097.0,2562.0,1.0,2930.0,12789.0,0,31.0768,2.0,1599,12354
1001401488099960-3003401486099946,113.94865920016564,22.533862145734602,113.94776767208764,22.519179794835683,1565.0,2133.0,879.0,2052.0,0.0,1254.0,2575.0,0,10.0,1.0,605,2527
1001401488099960-3003401488100004,113.94865920016564,22.533862145734602,113.94875597608164,22.584628738339443,5133.0,3577.0,1013.0,2364.0,0.0,2564.0,6529.0,0,17.519199999999998,2.0,1826,8196
1001401488099960-1001401522099968,113.94865920016564,22.533862145734602,113.98973580080136,22.54366154448215,4816.0,2013.0,1124.0,2625.0,1.0,888.0,5269.0,1,16.758399999999998,3.0,1524,6600
1001401488099960-3003401500100004,113.94865920016564,22.533862145734602,113.96332781790865,22.584905094887727,6518.0,3817.0,1248.0,2914.0,0.0,2569.0,7268.0,0,20.8432,3.0,1678,7352
1001401488099960-1001401640099984,113.94865920016564,22.533862145734602,114.13262503060602,22.564325907757365,20221.0,5863.0,1428.0,3334.0,0.0,4435.0,20254.0,0,53.7304,2.5,3305,23608
1001401488099960-7007401504100040,113.94865920016564,22.533862145734602,113.9696746657884,22.62789342057521,11451.0,5310.0,499.0,1166.0,0.0,4811.0,16661.0,0,32.6824,2.5,2495,13201
1001401488099960-63063401440100000,113.94865920016564,22.533862145734602,113.92623708374205,22.613523391257118,10131.0,5194.0,352.0,826.0,2.0,4840.0,11069.0,1,29.5144,4.5,2696,10996
1001401488099960-1001401506099986,113.94865920016564,22.533862145734602,113.9698683718918,22.5635944400022,4977.0,3456.0,831.0,1940.0,0.0,2625.0,6222.0,0,17.1448,2.5,1399,5272
1001401488099960-1001401460099950,113.94865920016564,22.533862145734602,113.91492221764764,22.521937518834893,4349.0,2923.0,733.0,1712.0,0.0,2190.0,4455.0,0,15.6376,2.5,1233,5265
1001401488099960-1001401578100044,113.94865920016564,22.533862145734602,114.05589939535764,22.63062884311457,19763.0,6304.0,239.0,560.0,1.0,6064.0,24480.0,1,52.6312,4.5,3517,23537
1001401488099960-3003401446099986,113.94865920016564,22.533862145734602,113.89821098387371,22.56335469435424,7678.0,2743.0,567.0,1324.0,0.0,2176.0,6864.0,0,23.6272,2.5,1367,8071
1001401488099960-7007401440099952,113.94865920016564,22.533862145734602,113.8941628611507,22.52717827198823,5755.0,5361.0,1283.0,2996.0,1.0,4077.0,9080.0,0,19.012,2.5,1481,7559
1001401486099960-3003401538100022,113.9462314708742,22.533816054785625,114.0090346291297,22.60606998970873,13146.0,4825.0,1158.0,2704.0,0.0,3667.0,13485.0,0,36.7504,3.0,2304,16098
1001401488099960-1001401502099968,113.94865920016564,22.533862145734602,113.96545614917143,22.54320499966419,2507.0,1908.0,446.0,1042.0,0.0,1462.0,2853.0,0,11.2168,2.5,1090,2872
1001401488099960-1001401442099998,113.94865920016564,22.533862145734602,113.89186237719434,22.575640668392282,9510.0,4204.0,556.0,1298.0,0.0,3648.0,8969.0,0,28.024,2.0,1858,10446
1001401488099960-1001401392100054,113.94865920016564,22.533862145734602,113.82970850102316,22.63759398394934,21559.0,5371.0,411.0,960.0,0.0,4960.0,20150.0,0,56.9416,2.5,3146,21546
1001401488099960-3003401692100052,113.94865920016564,22.533862145734602,114.19540901506815,22.643285492736343,34045.0,5543.0,1660.0,3877.0,2.0,3881.0,35434.0,1,93.4204,8.0,4533,36450
1001401488099960-7007401604099988,113.94865920016564,22.533862145734602,114.09238694619292,22.57149998672072,17194.0,5041.0,1271.0,2968.0,1.0,3769.0,16484.0,0,46.4656,3.0,2302,18162
1001401488099960-1001401500099962,113.94865920016564,22.533862145734602,113.96317634532869,22.536393230293797,1608.0,2194.0,1049.0,2450.0,1.0,1144.0,1772.0,0,10.0,2.5,911,2639
1001401488099960-1001401462099964,113.94865920016564,22.533862145734602,113.9169989875322,22.537770530778623,3345.0,2643.0,922.0,2152.0,0.0,1721.0,3550.0,0,13.228,2.5,1300,5216
1001401488099960-1001401456099960,113.94865920016564,22.533862145734602,113.9098162928,22.533120306790856,3696.0,2034.0,1618.0,3778.0,1.0,415.0,3044.0,0,14.0704,2.0,1284,6080
1001401488099960-1001401574099988,113.94865920016564,22.533862145734602,114.0523862001378,22.56738630321248,13051.0,4057.0,746.0,1742.0,0.0,3311.0,14813.0,0,36.52240000000001,3.0,2045,14483
1001401488099960-7007401500099964,113.94865920016564,22.533862145734602,113.96669463161876,22.542100169117088,2512.0,2092.0,629.0,1470.0,1.0,1462.0,2853.0,0,11.2288,2.5,1157,3096
1001401488099960-1001401456099996,113.94865920016564,22.533862145734602,113.90891121200329,22.57371367327345,7727.0,4254.0,268.0,628.0,1.0,3985.0,9761.0,0,23.7448,2.5,1956,10145
1001401486099960-3003401508099964,113.9462314708742,22.533816054785625,113.97402773155312,22.53998219803552,3212.0,1831.0,1383.0,3230.0,1.0,447.0,3011.0,0,12.9088,2.0,1222,5563
1001401488099960-3003401398100022,113.94865920016564,22.533862145734602,113.83901080141588,22.60280926441135,17179.0,5151.0,1040.0,2428.0,0.0,4111.0,15929.0,0,46.42959999999999,2.5,3058,16117
1001401488099960-3003401560100044,113.94865920016564,22.533862145734602,114.03522319963172,22.63137581373741,17912.0,5507.0,975.0,2276.0,0.0,4532.0,19384.0,0,48.18879999999999,3.0,2969,18890
1001401488099960-1001401476099970,113.94865920016564,22.533862145734602,113.93384368187023,22.544861268732124,2491.0,2447.0,671.0,1568.0,1.0,1775.0,2948.0,0,11.1784,2.0,962,4015
1001401488099960-1001401500100008,113.94865920016564,22.533862145734602,113.96203925940377,22.588265067403523,6737.0,4622.0,895.0,2090.0,0.0,3727.0,9062.0,0,21.3688,2.0,1720,8320
1001401488099960-1001401466099958,113.94865920016564,22.533862145734602,113.92200455140238,22.53109791619373,2764.0,3325.0,405.0,946.0,0.0,2920.0,6467.0,0,11.8336,2.0,987,4544
1001401488099960-1001401450099988,113.94865920016564,22.533862145734602,113.90182800465219,22.564552592488,7462.0,3270.0,684.0,1596.0,0.0,2586.0,8100.0,0,23.1088,2.0,1541,8863
1001401488099960-1001401476099954,113.94865920016564,22.533862145734602,113.93424238565126,22.526819313207678,2055.0,1778.0,535.0,1250.0,0.0,1243.0,1704.0,0,10.132,2.0,490,2257
1001401488099960-1001401584099968,113.94865920016564,22.533862145734602,114.06500665944513,22.54505360019405,11973.0,3810.0,482.0,1126.0,0.0,3328.0,13280.0,0,33.9352,2.5,1567,15474
1001401488099960-3003401572099952,113.94865920016564,22.533862145734602,114.052011138779,22.527893000953693,10236.0,3232.0,907.0,2118.0,0.0,2325.0,12464.0,0,29.7664,2.5,1305,13100
1001401488099960-3003401530099974,113.94865920016564,22.533862145734602,114.00049106646864,22.5517596111042,6637.0,3095.0,886.0,2068.0,0.0,2209.0,7545.0,0,21.1288,2.5,1191,7754
1001401486099960-15015401472099952,113.9462314708742,22.533816054785625,113.937758734635,22.532526448067788,920.0,1536.0,716.0,1674.0,1.0,819.0,664.0,0,10.0,2.0,571,2243
1001401488099960-15015401584099952,113.94865920016564,22.533862145734602,114.07371884821748,22.5350582945224,11777.0,4097.0,662.0,1546.0,0.0,3435.0,16648.0,0,33.4648,4.0,1293,15645
1001401488099960-15015401448100104,113.94865920016564,22.533862145734602,113.90479013693165,22.703361415221828,21204.0,6865.0,429.0,1003.0,1.0,6435.0,25453.0,1,56.0896,4.5,2654,25056
1001401488099960-7007401464099944,113.94865920016564,22.533862145734602,113.92349313206392,22.51871732072213,3875.0,2484.0,602.0,1406.0,0.0,1882.0,3860.0,0,14.5,2.0,995,4704
1001401486099960-7007401612100044,113.9462314708742,22.533816054785625,114.10077811026173,22.63483156351195,24602.0,5102.0,1082.0,2526.0,0.0,4020.0,23709.0,0,64.2448,7.0,3641,26033
1001401488099960-1001401418099998,113.94865920016564,22.533862145734602,113.86272284073168,22.575073893239555,12169.0,2451.0,1180.0,2756.0,1.0,1270.0,11389.0,0,34.4056,4.0,2695,13139
1001401488099960-7007401424100008,113.94865920016564,22.533862145734602,113.87331880920408,22.589945123425608,12682.0,4433.0,917.0,2140.0,0.0,3516.0,11764.0,0,35.6368,2.5,1737,11974
1001401488099960-3003401438099974,113.94865920016564,22.533862145734602,113.88880226177136,22.54963598445428,7171.0,2460.0,1489.0,3477.0,1.0,970.0,7120.0,1,22.410400000000006,3.0,1533,8767
1001401488099960-3003401500099972,113.94865920016564,22.533862145734602,113.96411872043812,22.548820321511634,2950.0,1989.0,526.0,1230.0,1.0,1462.0,2853.0,0,12.28,2.5,1092,3172
1001401488099960-7007401524099948,113.94865920016564,22.533862145734602,113.9962206983308,22.52460433441525,5367.0,2408.0,755.0,1764.0,1.0,1652.0,6280.0,0,18.0808,2.0,1068,6549
1001401486099960-3003401582099970,113.9462314708742,22.533816054785625,114.06372090174101,22.548414674417376,12423.0,3783.0,576.0,1346.0,0.0,3207.0,13629.0,0,35.0152,3.0,2587,15517
1001401488099960-1001401576100072,113.94865920016564,22.533862145734602,114.05279542186736,22.66216064179564,22658.0,7105.0,1503.0,3508.0,0.0,5602.0,23946.0,0,59.5792,3.0,3250,25286
1001401488099960-1001401440099986,113.94865920016564,22.533862145734602,113.88973789968288,22.56206279638739,8338.0,3144.0,522.0,1220.0,0.0,2622.0,8753.0,0,25.2112,2.5,1451,8997
1001401486099960-1001401422100008,113.9462314708742,22.533816054785625,113.86732420433168,22.586444167968374,12667.0,4541.0,1206.0,2816.0,0.0,3335.0,12834.0,0,35.6008,3.0,2666,12053
1001401488099960-3003401610099966,113.94865920016564,22.533862145734602,114.09781130906424,22.54452102713737,14977.0,5061.0,1014.0,2368.0,0.0,4047.0,16784.0,0,41.1448,3.0,2034,18498
1001401488099960-1001401470100056,113.94865920016564,22.533862145734602,113.92440495011006,22.64169619102611,13147.0,4647.0,764.0,1784.0,0.0,3883.0,15364.0,0,36.7528,2.0,2660,16619
1001401488099960-1001401634100052,113.94865920016564,22.533862145734602,114.1237445246356,22.640886657356358,27123.0,8703.0,1528.0,3570.0,2.0,7173.0,29408.0,1,71.82376,4.5,4333,30790
1001401486099960-1001401444100002,113.9462314708742,22.533816054785625,113.89418953567991,22.580197957323183,9533.0,3651.0,453.0,1058.0,0.0,3198.0,9973.0,0,28.0792,2.0,1906,10110
1001401488099960-1001401472099956,113.94865920016564,22.533862145734602,113.92933735086564,22.52898192394713,2294.0,2429.0,838.0,1956.0,0.0,1591.0,3080.0,0,10.7056,2.0,837,3931
1001401488099960-15015401400100008,113.94865920016564,22.533862145734602,113.8489305284116,22.593979894956263,15363.0,4487.0,554.0,1294.0,0.0,3933.0,15172.0,0,42.0712,2.5,2736,14905
1001401488099960-3003401548099964,113.94865920016564,22.533862145734602,114.02258691366144,22.540888922402353,7599.0,3714.0,1136.0,2654.0,1.0,2577.0,7707.0,0,23.4376,2.0,1633,9017
1001401488099960-1001401548099956,113.94865920016564,22.533862145734602,114.0215908134673,22.53071702840753,7116.0,2908.0,846.0,1976.0,0.0,2062.0,10300.0,0,22.2784,2.5,952,9796
1001401488099960-7007401628100020,113.94865920016564,22.533862145734602,114.12078110978165,22.608114851920128,23538.0,6997.0,1096.0,2560.0,1.0,5900.0,25792.0,0,61.6912,3.0,3423,25637
1001401488099960-1001401428100020,113.94865920016564,22.533862145734602,113.87430393326895,22.600116820062524,13618.0,5284.0,1169.0,2728.0,0.0,4115.0,14739.0,0,37.8832,2.5,2437,14504
1001401488099960-15015401560100040,113.94865920016564,22.533862145734602,114.04246323463644,22.63376558577756,18828.0,6616.0,1393.0,3252.0,0.0,5223.0,24650.0,0,50.3872,4.0,3530,20506
1001401488099960-7007401456099952,113.94865920016564,22.533862145734602,113.91358299313421,22.52755215637025,3907.0,2097.0,1682.0,3926.0,0.0,415.0,3044.0,0,14.5768,2.0,1953,6439
1001401488099960-3003401460099944,113.94865920016564,22.533862145734602,113.9162611288703,22.516322747607756,4790.0,2686.0,567.0,1324.0,0.0,2119.0,4642.0,0,16.695999999999998,2.0,1144,4963
1001401486099960-1001401468099978,113.9462314708742,22.533816054785625,113.92393203474441,22.553696584056354,4085.0,2679.0,515.0,1204.0,1.0,2163.0,3224.0,0,15.004000000000001,2.5,1684,4760
